Country,Artificial surfaces,Bare area,Cropland,Grassland,Inland water,Shrubland,Sparse vegetation,Tree cover,Wetland
Guinea,0.0019833757966212003,7.04736779233e-05,0.22779620908496998,3.4762800769299994e-05,0.0035619229770104,0.11242289768802,0.0,0.6540832701809101,4.70877937694e-05
Guinea-Bissau,0.0017372524415271,0.0008198831666488,0.274878329838,0.0013948012408232001,0.013095633872173001,0.031405524712728,9.998575203e-06,0.67608115843492,0.0005774177179752
Guyana,0.0010374546136269998,0.00017623311507259997,0.014972199770026999,0.006414740340811601,0.0082568477987722,0.041212802936929,0.0001298178090453,0.92093043832367,0.006869465292048399
Haiti,0.015952861243965,1.4225843805899999e-05,0.19216554329920002,0.52353950374567,0.013688106910061002,9.673573788030001e-05,0.0027199813356929,0.14322579543806,0.10859724644567001
Heard Island and McDonald Islands,0.0,0.6152688980819899,0.0,0.023505077096652997,0.16359533659269998,0.0,0.19763068822866,0.0,0.0
Holy See,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,0.0045182239830399,4.2482542758300005e-05,0.23345664690772,0.05038498091369,0.010226644365616,0.0015958361626478,3.15193059175e-05,0.69844383705067,0.0012998287679445999
"Hong Kong, China",0.18217440866343998,0.0,0.20312054716443,0.010615559988601,0.12446565973212,0.0094756340837846,0.0004987175833571,0.46665716728413004,0.0029923055001425
Hungary,0.040712102229601,0.00011056971670040001,0.6806696700616299,0.071139558103555,0.014981780937281999,0.0,0.00016710160193069998,0.18648123099842998,0.005737986350875099
Iceland,0.0,0.30620637219187,0.0,0.23541104235128002,0.027747966177017004,0.0021003322439922,0.35731269329253995,0.00027661806452,0.070944975678772
India,0.009574752689627802,0.0068281916641065,0.7212070155627499,0.024391360242828997,0.016801522222496,0.03858160516898101,0.0017861972099601,0.17844796676841,0.002381388470839
Indonesia,0.008894556978296199,0.0,0.35560796532780997,0.0032728148435359,0.020499392787945003,0.000601724096859,0.011110756991028002,0.60001278897452,0.0
Iran,0.0038125409852751003,0.63087352220384,0.18805214813501997,0.026986697094699,0.037404625016122996,0.031908077739074996,0.06886468208982001,0.011606767988569999,0.0004909387475796
Iraq,0.005787067738313101,0.74699717941236,0.21554364837264,0.006367100807271601,0.011337701265286002,0.0034727711610388003,0.0090419728197919,0.000691088180942,0.0007614702423583
Ireland,0.012797419037697,0.0036657370390011995,0.07958114719522999,0.6727109072007199,0.023601987978685002,1.4392806254e-05,0.0034919162250105,0.08066392908110799,0.12347256343629001
Isle of Man,0.029228687415426006,0.017050067658999,0.12395128552097001,0.6893098782138,0.013261163734776999,0.0,0.0001353179972936,0.12706359945873,0.0
Israel,0.05186303381871901,0.56607965461734,0.29266655292381,0.0005378059002871,0.022828933215634,0.0012647711172268999,0.035576787555542,0.029141661783142002,4.07990682976e-05
Italy,0.044458215438465995,0.022115548402859998,0.53519632273352,0.06467203067437499,0.010090079257723001,0.019869540385367,0.008107929651802,0.29450966397489997,0.0009806694809851
Jamaica,0.028133566085487,0.0,0.17651306426623,0.07635953197187301,0.006603991839653399,3.5053035242299996e-05,0.00013320153392080002,0.7054213024305801,0.0068002888370104
Japan,0.066269906896752,8.98308385957e-05,0.24724344550528002,0.0015060119392221998,0.014784417371463,0.0,0.00012481104993829998,0.66782128961897,0.0021602867797776
Jersey,0.14822006472492,0.0,0.7799352750809101,0.021359223300971,0.023300970873786003,0.0,0.0,0.027184466019417,0.0
Jordan,0.006242954398574901,0.9063600097935499,0.061030589265337006,0.0003304889939379,0.005247161644589399,3.2875868506900004e-05,0.020383903628717,0.0003650951713136,6.9212354751e-06
Kazakhstan,0.0015207359134714001,0.11778872307915002,0.22728922174780997,0.28602378447628,0.062475441872090004,0.06078977605546101,0.22072346546934,0.019085430341696,0.0043034210447017995
Kenya,0.0008496223761399999,0.031157610157924,0.24468768501038,0.23740584780119,0.020991011667576,0.28459040753268,0.0057224604694899,0.1586376143711,0.015957740613518
Kiribati,0.00045630846452199996,0.0,0.50825157806677,0.0,0.38405962430602997,0.0,0.098182371282987,0.0090501178796867,0.0
